"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R2,R1";"R_0402_1005Metric";2;"5.1K";;;
2;"R6";"R_0402_1005Metric";1;"10K";;;
3;"R3,R4";"R_0402_1005Metric";2;"27";;;
4;"C3,C4";"C_0402_1005Metric";2;"1 uF";;;
5;"R7,R5";"R_0402_1005Metric";2;"1K";;;
6;"U3";"Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm";1;"W25Q128JVS";;;
7;"C9,C12,C2,C1,C11,C6,C5,C17,C8,C10,C7";"C_0402_1005Metric";11;"0.1 uF";;;
8;"SW1";"SW_Push_SPST_NO_Alps_SKRK";1;"SW_Push";;;
9;"C13,C14";"C_0603_1608Metric";2;"10 uF";;;
10;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
11;"C16,C15";"C_0402_1005Metric";2;"15 pF";;;
12;"D2";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"WS2812B";;;
13;"J4,J2";"PinHeader_1x20_P2.54mm_Vertical";2;"Conn_01x20";;;
14;"U4";"SOT-23";1;"MCP1700x-330xxTT";;;
15;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_14P";;;
16;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
17;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"12 MHz";;;
